"","lat","lon","num_flr","retrofit","struc_type","occ_day","class"
"1",27.6782172,85.4321546,5,"Yes","Engineered_RC_Frame",600,"Non-retrofitted RC"
"2",27.6991598,85.3516282,2,"Yes","Non_Engineered_RC_Frame",55,"Non-retrofitted RC"
"3",27.6900931,85.3321063,5,"Yes","Non_Engineered_RC_Frame",570,"Non-retrofitted RC"
"4",27.6710969,85.425082,3,"Yes","Engineered_RC_Frame",534,"Non-retrofitted RC"
"5",27.6850501,85.3861595,2,"Yes","Engineered_RC_Frame",200,"Non-retrofitted RC"
"6",27.7259216,85.3649577,4,"Yes","Non_Engineered_RC_Frame",200,"Non-retrofitted RC"
"7",27.7577157,85.2784857,2,"Yes","Non_Engineered_RC_Frame",180,"Non-retrofitted RC"
"8",27.6506853,85.3834807,1,"Yes","Non_Engineered_RC_Frame",65,"Non-retrofitted RC"
"9",27.6522593,85.3746036,2,"Yes","Non_Engineered_RC_Frame",1,"Non-retrofitted RC"
"10",27.6822477,85.3546237,1,"Yes","Engineered_RC_Frame",83,"Non-retrofitted RC"
"11",27.6821852,85.3548235,3,"Yes","Non_Engineered_RC_Frame",220,"Non-retrofitted RC"
"12",27.618956,85.3549314,1,"Yes","Non_Engineered_RC_Frame",60,"Non-retrofitted RC"
"13",27.7055844,85.2547694,2,"Yes","Non_Engineered_RC_Frame",200,"Non-retrofitted RC"
"14",27.5896635,85.2882763,1,"Yes","Engineered_RC_Frame",50,"Non-retrofitted RC"
"15",27.589497,85.2882381,2,"Yes","Engineered_RC_Frame",50,"Non-retrofitted RC"
